Year	StatType	Terms	Statistic	P-Value	Additional Info
1998	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	13.513829653258068	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 36.7495126051201-59.233770516513836    CI2: 1.6368701577172806-7.281986184707884 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
1998	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	39.93580871244972	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1998	chisq		114.47982825068493	1.0230163530856931e-26	
1998	tost		7.803211554774394	0.999999999999997	
1999	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	12.790237802551822	2.654481080640556e-31	Reporting FET on the AB hits and B totals. Probably CORRECT.
1999	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	10.95663407205869	6.17536356905617e-28	Reporting on z test of proportions.
1999	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
1999	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	13.74746230893609	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 34.32903856545891-54.53390285719558    CI2: 1.4924308148192071-6.637261641309798 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
1999	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	45.50221684487864	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1999	chisq		117.50823031955991	2.221762163878641e-27	
1999	tost		7.8808450620408035	0.9999999999999983	
2000	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	14.114247568186151	7.523384544235637e-36	Reporting FET on the AB hits and B totals. Probably CORRECT.
2000	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	11.66161017699088	2.0021978640823123e-31	Reporting on z test of proportions.
2000	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
